Class,IUPAC name,#C,#H,#O,Molweight g/mol,mp / dC,bp / dC,density / g/ml,SMILES
1-alkanol,Methanol,1,4,1,32.04,-98,65,0.791,CO
1-alkanol,Ethanol,2,6,1,46.07,-114,78,0.789,CCO
1-alkanol,1-Propanol,3,8,1,60.09,-124,97,0.804,CCCO
1-alkanol,1-Butanol,4,10,1,74.12,-89,118,0.81,CCCCO
1-alkanol,1-Pentanol,5,12,1,88.15,-78,138,0.814,CCCCCO
1-alkanol,1-Hexanol,6,14,1,102.17,-46,157,0.814,CCCCCCO
1-alkanol,1-Heptanol,7,16,1,116.198,-33,178,0.822,CCCCCCCO
1-alkanol,1-Octanol,8,18,1,130.22,-15,195,0.829,CCCCCCCCO
1-alkanol,1-Nonanol,9,20,1,144.25,-5,214,0.828,CCCCCCCCCO
1-alkanol,1-Decanol,10,22,1,158.276,7,229,0.83,CCCCCCCCCCO
1-alkanol,1-Undecanol,11,24,1,172.3,1,246,0.83,CCCCCCCCCCCO
1-alkanol,1-Dodecanol,12,26,1,186.33,24,264,0.833,CCCCCCCCCCCCO
1-alkanol,1-Tridecanol,13,28,1,200.35,31,287,0.822,CCCCCCCCCCCCCO
1-alkanol,1-Tetradecanol,14,30,1,214.38,38,296,0.824,CCCCCCCCCCCCCCO
1-alkanol,1-Pentadecanol,15,32,1,228.41,44,318,0.835,CCCCCCCCCCCCCCCO
2-alkanol,2-Propanol,3,8,1,60.09,-88,82,0.785,CC(C)O
2-alkanol,2-butanol,4,10,1,74.12,-88,99,0.806,CCC(C)O
2-alkanol,2-pentanol,5,12,1,88.15,-73,119,0.809,CCCC(C)O
2-alkanol,2-hexanol,6,14,1,102.17,-23,138,0.816,CCCCC(C)O
2-alkanol,2-Octanol,8,18,1,130.22,-31.6,179,0.819,CCCCCCC(C)O
2-alkanol,2-Nonanol,9,20,1,144.25,-35,194,0.83,CCCCCCCC(C)O
2-alkanol,2-Decanol,10,22,1,158.28,-5,212,0.825,CCCCCCCCC(C)O
2-alkanol,2-Dodecanol,12,26,1,186.33,19,249,0.829,CCCCCCCCCCC(C)O
3-alkanol,3-Pentanol,5,12,1,88.15,-73,115,0.82,CCC(O)CC
3-alkanol,3-Hexanol,6,14,1,102.17,-57,143,0.818,CCCC(O)CC
3-alkanol,3-Heptanol,7,16,1,116.2,-70,163,0.823,CCCCC(O)CC
3-alkanol,3-Octanol,8,18,1,130.22,-45,175,0.826,CCCCCC(O)CC
3-alkanol,3-Nonanol,9,20,1,144.25,22,193,0.825,CCCCCCC(O)CC
3-alkanol,3-Decanol,10,22,1,158.28,-5,212,0.827,CCCCCCCC(O)CC
3-alkanol,3-Dodecanol,12,26,1,186.33,25,246,0.829,CCCCCCCCCC(O)CC
4-alkanol,4-Heptanol,7,16,1,116.12,-41,161,0.818,CCCC(O)CCC
4-alkanol,4-Octanol,8,18,1,130.22,-41,176,0.819,CCCCC(O)CCC
4-alkanol,4-Nonanol,9,20,1,144.25,-7,193,0.828,CCCCCC(O)CCC
4-alkanol,4-Decanol,10,22,1,158.28,-11,214,0.826,CCCCCCC(O)CCC
