Class,IUPAC name,Common name,#C,#H,#O,Molweight g/mol,mp / °C,bp / °C,density / g/ml,pKa(1),pKa(2)
1-alkanol,Methanol,Methyl alcohol,1,4,1,32.04,-98,65,0.791,15.5,
1-alkanol,Ethanol,Ethyl alcohol,2,6,1,46.07,-114,78,0.789,15.5,
1-alkanol,1-Propanol,Propyl alcohol,3,8,1,60.09,-124,97,0.804,16.1,
1-alkanol,1-Butanol,Butyl alcohol,4,10,1,74.12,-89,118,0.81,16.1,
1-alkanol,1-Pentanol,Amyl alcohol,5,12,1,88.15,-78,138,0.814,,
1-alkanol,1-Hexanol,Caproyl alcohol,6,14,1,102.17,-46,157,0.814,,
1-alkanol,1-Heptanol,Heptyl alcohol,7,16,1,116.198,-33,178,0.822,,
1-alkanol,1-Octanol,Capryl alcohol,8,18,1,130.22,-15,195,0.829,,
1-alkanol,1-Nonanol,Nonyl alcohol,9,20,1,144.25,-5,214,0.828,,
1-alkanol,1-Decanol,Capric alcohol,10,22,1,158.276,7,229,0.83,,
1-alkanol,1-Undecanol,Undecyl alcohol,11,24,1,172.3,1,246,0.83,,
1-alkanol,1-Dodecanol,Lauryl alcohol,12,26,1,186.33,24,264,0.833,,
1-alkanol,1-Tridecanol,,13,28,1,200.35,31,287,0.822,,
1-alkanol,1-Tetradecanol,Tetra decylalcohol,14,30,1,214.38,38,296,0.824,,
1-alkanol,1-Pentadecanol,,15,32,1,228.41,44,318,0.835,,
1-alkanol,1-Docosanol,,22,46,1,326.59,71,,,,
2-alkanol,2-Propanol,"Isopropyl alcohol,
isopropanol",3,8,1,60.09,-88,82,0.785,17.2,
2-alkanol,2-butanol,sec-Butyl alcohol,4,10,1,74.12,-88,99,0.806,17.6,
2-alkanol,2-pentanol,sec-Amyl alcohol,5,12,1,88.15,-73,119,0.809,17.8,
2-alkanol,2-hexanol,,6,14,1,102.17,-23,138,0.816,,
2-alkanol,2-heptanol,,7,16,1,116.2,,159,0.817,,
2-alkanol,2-Octanol,sec-Caprylic alcohol,8,18,1,130.22,-31.6,179,0.819,,
2-alkanol,2-Nonanol,,9,20,1,144.25,-35,194,0.83,,
2-alkanol,2-Decanol,,10,22,1,158.28,-5,212,0.825,,
2-alkanol,2-Dodecanol,,12,26,1,186.33,19,249,0.829,,
3-alkanol,3-Pentanol,Diethyl carbinol,5,12,1,88.15,-73,115,0.82,18.2,
3-alkanol,3-Hexanol,,6,14,1,102.17,-57,143,0.818,,
3-alkanol,3-Heptanol,Ethylbutylcarbinol,7,16,1,116.2,-70,163,0.823,,
3-alkanol,3-Octanol,,8,18,1,130.22,-45,175,0.826,,
3-alkanol,3-Nonanol,,9,20,1,144.25,22,193,0.825,,
3-alkanol,3-Decanol,,10,22,1,158.28,-5,212,0.827,,
3-alkanol,3-Undecanol,,11,24,1,172.3,,230,0.088,,
3-alkanol,3-Dodecanol,,12,26,1,186.33,25,246,0.829,,
4-alkanol,4-Heptanol,Dipropylcarbinol,7,16,1,116.12,-41,161,0.818,,
4-alkanol,4-Octanol,,8,18,1,130.22,-41,176,0.819,,
4-alkanol,4-Nonanol,,9,20,1,144.25,-7,193,0.828,,
4-alkanol,4-Decanol,,10,22,1,158.28,-11,214,0.826,,
"Branched
alcohol",2-Methyl-2-propanol,,4,10,1,74.12,25.7,83,0.789,,
"Branched
alcohol",2-Methyl-1-propanol,"Isobutanol, isobutyl
alcohol",4,10,1,74.12,,108,0.802,,
"Branched
alcohol",2-Methyl-2-butanol,,5,12,1,88.15,-8,102,0.81,,
"Branched
alcohol",3-Methyl-2-butanol,,5,12,1,88.15,,114,0.818,,
"Branched
alcohol",2-Methyl-1-butanol,,5,12,1,88.15,,129,0.818,,
"Branched
alcohol",3-Methyl-1-butanol,,5,12,1,88.15,-117,131,0.81,,
Cycloalcohol,Cyclohexanol,,6,12,1,100.16,25,161,0.962,,
Phenols,Phenol,hydroxybenzene,6,6,1,94.11,41,181,1.055,9.98,
Phenols,2-Methylphenol,"o-Cresol, 2-
methylhydroxybenzene",7,8,1,108.13,31,191,1.033,10.29,
Phenols,4-Methylphenol,"p-Cresol, 4-
methylhydroxybenzene",7,8,1,108.13,35,202,1.019,10.26,
Phenols,3-Methylphenol,"m-Cresol, 3-
methylhydroxybenzene",7,8,1,108.13,12,202,1.034,10.09,
Phenols,2-Methoxyphenol,Guaiacol,7,8,2,124.13,28,204,1.129,9.98,
Phenols,3-Methoxyphenol,"Resorcinol,
monomethyl ether",7,8,2,124.13,-18,244,1.131,9.65,
Phenols,4-Methoxyphenol,,7,8,2,124.13,55,253,,10.21,
Phenols,2-Ethylphenol,"2-
Ethylhydroxybenzene",8,10,1,122.16,-3,205,1.017,10.2,
Phenols,4-Ethylphenol,"4-
Ethylhydroxybenzene",8,10,1,122.16,45,218,1.05,10,
Phenols,3-Ethylphenol,"3-
Ethylhydroxybenzene",8,10,1,122.16,-4,218,1.028,9.9,
Phenols,2-Propylphenol,o-Propylphenol,9,12,1,136.19,7,223,1.015,10.47,
Phenols,4-Propylphenol,p-Propylphenol,9,12,1,136.19,22,232,1.009,10.34,
